,country,frequency,variable,value_x,value_y,count_percent
100,Iceland,Never or rarely,talkAboutMaths,1117,2211,50.52
101,Iceland,Sometimes,talkAboutMaths,814,2211,36.82
102,Iceland,Often,talkAboutMaths,208,2211,9.41
103,Iceland,Always or almost always,talkAboutMaths,72,2211,3.26
104,Indonesia,Never or rarely,talkAboutMaths,240,3662,6.55
105,Indonesia,Sometimes,talkAboutMaths,1624,3662,44.35
106,Indonesia,Often,talkAboutMaths,1412,3662,38.56
107,Indonesia,Always or almost always,talkAboutMaths,386,3662,10.54
108,Ireland,Never or rarely,talkAboutMaths,1905,3302,57.69
109,Ireland,Sometimes,talkAboutMaths,1064,3302,32.22
110,Ireland,Often,talkAboutMaths,277,3302,8.39
111,Ireland,Always or almost always,talkAboutMaths,56,3302,1.7
112,Israel,Never or rarely,talkAboutMaths,757,3162,23.94
113,Israel,Sometimes,talkAboutMaths,1267,3162,40.07
114,Israel,Often,talkAboutMaths,810,3162,25.62
115,Israel,Always or almost always,talkAboutMaths,328,3162,10.37
116,Italy,Never or rarely,talkAboutMaths,9607,20479,46.91
117,Italy,Sometimes,talkAboutMaths,7241,20479,35.36
118,Italy,Often,talkAboutMaths,2788,20479,13.61
119,Italy,Always or almost always,talkAboutMaths,843,20479,4.12
120,Japan,Never or rarely,talkAboutMaths,1248,4156,30.03
121,Japan,Sometimes,talkAboutMaths,2061,4156,49.59
122,Japan,Often,talkAboutMaths,726,4156,17.47
123,Japan,Always or almost always,talkAboutMaths,121,4156,2.91
124,Jordan,Never or rarely,talkAboutMaths,575,4480,12.83
125,Jordan,Sometimes,talkAboutMaths,1068,4480,23.84
126,Jordan,Often,talkAboutMaths,1534,4480,34.24
127,Jordan,Always or almost always,talkAboutMaths,1303,4480,29.08
128,Kazakhstan,Never or rarely,talkAboutMaths,414,3835,10.8
129,Kazakhstan,Sometimes,talkAboutMaths,1510,3835,39.37
130,Kazakhstan,Often,talkAboutMaths,1413,3835,36.84
131,Kazakhstan,Always or almost always,talkAboutMaths,498,3835,12.99
132,Korea,Never or rarely,talkAboutMaths,1229,3351,36.68
133,Korea,Sometimes,talkAboutMaths,1659,3351,49.51
134,Korea,Often,talkAboutMaths,421,3351,12.56
135,Korea,Always or almost always,talkAboutMaths,42,3351,1.25
136,Latvia,Never or rarely,talkAboutMaths,1186,2864,41.41
137,Latvia,Sometimes,talkAboutMaths,1275,2864,44.52
138,Latvia,Often,talkAboutMaths,324,2864,11.31
139,Latvia,Always or almost always,talkAboutMaths,79,2864,2.76
140,Liechtenstein,Never or rarely,talkAboutMaths,82,193,42.49
141,Liechtenstein,Sometimes,talkAboutMaths,91,193,47.15
142,Liechtenstein,Often,talkAboutMaths,13,193,6.74
143,Liechtenstein,Always or almost always,talkAboutMaths,7,193,3.63
144,Lithuania,Never or rarely,talkAboutMaths,1138,3016,37.73
145,Lithuania,Sometimes,talkAboutMaths,1346,3016,44.63
146,Lithuania,Often,talkAboutMaths,407,3016,13.49
147,Lithuania,Always or almost always,talkAboutMaths,125,3016,4.14
148,Luxembourg,Never or rarely,talkAboutMaths,1545,3395,45.51
149,Luxembourg,Sometimes,talkAboutMaths,1297,3395,38.2
150,Luxembourg,Often,talkAboutMaths,420,3395,12.37
151,Luxembourg,Always or almost always,talkAboutMaths,133,3395,3.92
152,Macao-China,Never or rarely,talkAboutMaths,628,3539,17.75
153,Macao-China,Sometimes,talkAboutMaths,1971,3539,55.69
154,Macao-China,Often,talkAboutMaths,765,3539,21.62
155,Macao-China,Always or almost always,talkAboutMaths,175,3539,4.94
156,Malaysia,Never or rarely,talkAboutMaths,207,3364,6.15
157,Malaysia,Sometimes,talkAboutMaths,1417,3364,42.12
158,Malaysia,Often,talkAboutMaths,1136,3364,33.77
159,Malaysia,Always or almost always,talkAboutMaths,604,3364,17.95
160,Massachusetts (USA),Never or rarely,talkAboutMaths,545,1100,49.55
161,Massachusetts (USA),Sometimes,talkAboutMaths,377,1100,34.27
162,Massachusetts (USA),Often,talkAboutMaths,142,1100,12.91
163,Massachusetts (USA),Always or almost always,talkAboutMaths,36,1100,3.27
164,Mexico,Never or rarely,talkAboutMaths,6070,22154,27.4
165,Mexico,Sometimes,talkAboutMaths,10478,22154,47.3
166,Mexico,Often,talkAboutMaths,3996,22154,18.04
167,Mexico,Always or almost always,talkAboutMaths,1610,22154,7.27
168,Montenegro,Never or rarely,talkAboutMaths,874,3048,28.67
169,Montenegro,Sometimes,talkAboutMaths,1133,3048,37.17
170,Montenegro,Often,talkAboutMaths,712,3048,23.36
171,Montenegro,Always or almost always,talkAboutMaths,329,3048,10.79
