,country,frequency,variable,value_x,value_y,count_percent
431,Malaysia,Always or almost always,helpFriendsMaths,412,3360,12.26
432,Massachusetts (USA),Never or rarely,helpFriendsMaths,254,1095,23.2
433,Massachusetts (USA),Sometimes,helpFriendsMaths,541,1095,49.41
434,Massachusetts (USA),Often,helpFriendsMaths,235,1095,21.46
435,Massachusetts (USA),Always or almost always,helpFriendsMaths,65,1095,5.94
436,Mexico,Never or rarely,helpFriendsMaths,4430,22131,20.02
437,Mexico,Sometimes,helpFriendsMaths,10430,22131,47.13
438,Mexico,Often,helpFriendsMaths,5224,22131,23.6
439,Mexico,Always or almost always,helpFriendsMaths,2047,22131,9.25
440,Montenegro,Never or rarely,helpFriendsMaths,814,3038,26.79
441,Montenegro,Sometimes,helpFriendsMaths,1098,3038,36.14
442,Montenegro,Often,helpFriendsMaths,786,3038,25.87
443,Montenegro,Always or almost always,helpFriendsMaths,340,3038,11.19
444,Netherlands,Never or rarely,helpFriendsMaths,951,2830,33.6
445,Netherlands,Sometimes,helpFriendsMaths,1317,2830,46.54
446,Netherlands,Often,helpFriendsMaths,480,2830,16.96
447,Netherlands,Always or almost always,helpFriendsMaths,82,2830,2.9
448,New Zealand,Never or rarely,helpFriendsMaths,791,2770,28.56
449,New Zealand,Sometimes,helpFriendsMaths,1209,2770,43.65
450,New Zealand,Often,helpFriendsMaths,627,2770,22.64
451,New Zealand,Always or almost always,helpFriendsMaths,143,2770,5.16
452,Norway,Never or rarely,helpFriendsMaths,1027,3028,33.92
453,Norway,Sometimes,helpFriendsMaths,1463,3028,48.32
454,Norway,Often,helpFriendsMaths,464,3028,15.32
455,Norway,Always or almost always,helpFriendsMaths,74,3028,2.44
456,Perm(Russian Federation),Never or rarely,helpFriendsMaths,197,1127,17.48
457,Perm(Russian Federation),Sometimes,helpFriendsMaths,425,1127,37.71
458,Perm(Russian Federation),Often,helpFriendsMaths,321,1127,28.48
459,Perm(Russian Federation),Always or almost always,helpFriendsMaths,184,1127,16.33
460,Peru,Never or rarely,helpFriendsMaths,612,3669,16.68
461,Peru,Sometimes,helpFriendsMaths,1928,3669,52.55
462,Peru,Often,helpFriendsMaths,765,3669,20.85
463,Peru,Always or almost always,helpFriendsMaths,364,3669,9.92
464,Poland,Never or rarely,helpFriendsMaths,1056,3053,34.59
465,Poland,Sometimes,helpFriendsMaths,1402,3053,45.92
466,Poland,Often,helpFriendsMaths,499,3053,16.34
467,Poland,Always or almost always,helpFriendsMaths,96,3053,3.14
468,Portugal,Never or rarely,helpFriendsMaths,1092,3700,29.51
469,Portugal,Sometimes,helpFriendsMaths,1758,3700,47.51
470,Portugal,Often,helpFriendsMaths,695,3700,18.78
471,Portugal,Always or almost always,helpFriendsMaths,155,3700,4.19
472,Qatar,Never or rarely,helpFriendsMaths,745,6610,11.27
473,Qatar,Sometimes,helpFriendsMaths,1834,6610,27.75
474,Qatar,Often,helpFriendsMaths,2665,6610,40.32
475,Qatar,Always or almost always,helpFriendsMaths,1366,6610,20.67
476,Romania,Never or rarely,helpFriendsMaths,828,3329,24.87
477,Romania,Sometimes,helpFriendsMaths,1257,3329,37.76
478,Romania,Often,helpFriendsMaths,855,3329,25.68
479,Romania,Always or almost always,helpFriendsMaths,389,3329,11.69
480,Russian Federation,Never or rarely,helpFriendsMaths,756,3443,21.96
481,Russian Federation,Sometimes,helpFriendsMaths,1573,3443,45.69
482,Russian Federation,Often,helpFriendsMaths,881,3443,25.59
483,Russian Federation,Always or almost always,helpFriendsMaths,233,3443,6.77
484,Serbia,Never or rarely,helpFriendsMaths,932,3012,30.94
485,Serbia,Sometimes,helpFriendsMaths,1232,3012,40.9
486,Serbia,Often,helpFriendsMaths,641,3012,21.28
487,Serbia,Always or almost always,helpFriendsMaths,207,3012,6.87
488,Singapore,Never or rarely,helpFriendsMaths,353,3688,9.57
489,Singapore,Sometimes,helpFriendsMaths,1630,3688,44.2
490,Singapore,Often,helpFriendsMaths,1296,3688,35.14
491,Singapore,Always or almost always,helpFriendsMaths,409,3688,11.09
492,Slovak Republic,Never or rarely,helpFriendsMaths,1080,2992,36.1
493,Slovak Republic,Sometimes,helpFriendsMaths,1411,2992,47.16
494,Slovak Republic,Often,helpFriendsMaths,416,2992,13.9
495,Slovak Republic,Always or almost always,helpFriendsMaths,85,2992,2.84
496,Slovenia,Never or rarely,helpFriendsMaths,856,3727,22.97
497,Slovenia,Sometimes,helpFriendsMaths,1826,3727,48.99
498,Slovenia,Often,helpFriendsMaths,828,3727,22.22
499,Slovenia,Always or almost always,helpFriendsMaths,217,3727,5.82
500,Spain,Never or rarely,helpFriendsMaths,5339,16558,32.24
501,Spain,Sometimes,helpFriendsMaths,7645,16558,46.17
502,Spain,Often,helpFriendsMaths,2889,16558,17.45
503,Spain,Always or almost always,helpFriendsMaths,685,16558,4.14
504,Sweden,Never or rarely,helpFriendsMaths,929,3062,30.34
505,Sweden,Sometimes,helpFriendsMaths,1373,3062,44.84
506,Sweden,Often,helpFriendsMaths,620,3062,20.25
507,Sweden,Always or almost always,helpFriendsMaths,140,3062,4.57
508,Switzerland,Never or rarely,helpFriendsMaths,1702,7395,23.02
509,Switzerland,Sometimes,helpFriendsMaths,3382,7395,45.73
510,Switzerland,Often,helpFriendsMaths,1854,7395,25.07
511,Switzerland,Always or almost always,helpFriendsMaths,457,7395,6.18
512,Thailand,Never or rarely,helpFriendsMaths,296,4401,6.73
513,Thailand,Sometimes,helpFriendsMaths,2263,4401,51.42
514,Thailand,Often,helpFriendsMaths,1481,4401,33.65
515,Thailand,Always or almost always,helpFriendsMaths,361,4401,8.2
516,Tunisia,Never or rarely,helpFriendsMaths,596,2784,21.41
517,Tunisia,Sometimes,helpFriendsMaths,1109,2784,39.83
518,Tunisia,Often,helpFriendsMaths,746,2784,26.8
519,Tunisia,Always or almost always,helpFriendsMaths,333,2784,11.96
520,Turkey,Never or rarely,helpFriendsMaths,740,3179,23.28
521,Turkey,Sometimes,helpFriendsMaths,1428,3179,44.92
522,Turkey,Often,helpFriendsMaths,700,3179,22.02
523,Turkey,Always or almost always,helpFriendsMaths,311,3179,9.78
524,United Arab Emirates,Never or rarely,helpFriendsMaths,727,7347,9.9
525,United Arab Emirates,Sometimes,helpFriendsMaths,2319,7347,31.56
526,United Arab Emirates,Often,helpFriendsMaths,2717,7347,36.98
527,United Arab Emirates,Always or almost always,helpFriendsMaths,1584,7347,21.56
528,United Kingdom,Never or rarely,helpFriendsMaths,2205,8295,26.58
529,United Kingdom,Sometimes,helpFriendsMaths,3897,8295,46.98
530,United Kingdom,Often,helpFriendsMaths,1818,8295,21.92
531,United Kingdom,Always or almost always,helpFriendsMaths,375,8295,4.52
532,United States of America,Never or rarely,helpFriendsMaths,715,3205,22.31
533,United States of America,Sometimes,helpFriendsMaths,1409,3205,43.96
534,United States of America,Often,helpFriendsMaths,834,3205,26.02
535,United States of America,Always or almost always,helpFriendsMaths,247,3205,7.71
536,Uruguay,Never or rarely,helpFriendsMaths,942,3347,28.14
537,Uruguay,Sometimes,helpFriendsMaths,1260,3347,37.65
538,Uruguay,Often,helpFriendsMaths,805,3347,24.05
539,Uruguay,Always or almost always,helpFriendsMaths,340,3347,10.16
540,Vietnam,Never or rarely,helpFriendsMaths,748,3257,22.97
541,Vietnam,Sometimes,helpFriendsMaths,2006,3257,61.59
542,Vietnam,Often,helpFriendsMaths,461,3257,14.15
543,Vietnam,Always or almost always,helpFriendsMaths,42,3257,1.29
544,Albania,Never or rarely,extracurricularActivity,811,2574,31.51
545,Albania,Sometimes,extracurricularActivity,1012,2574,39.32
546,Albania,Often,extracurricularActivity,529,2574,20.55
547,Albania,Always or almost always,extracurricularActivity,222,2574,8.62
548,Argentina,Never or rarely,extracurricularActivity,1645,3628,45.34
549,Argentina,Sometimes,extracurricularActivity,1159,3628,31.95
550,Argentina,Often,extracurricularActivity,578,3628,15.93
551,Argentina,Always or almost always,extracurricularActivity,246,3628,6.78
552,Australia,Never or rarely,extracurricularActivity,6891,9353,73.68
553,Australia,Sometimes,extracurricularActivity,1703,9353,18.21
554,Australia,Often,extracurricularActivity,568,9353,6.07
555,Australia,Always or almost always,extracurricularActivity,191,9353,2.04
556,Austria,Never or rarely,extracurricularActivity,1195,3097,38.59
557,Austria,Sometimes,extracurricularActivity,1328,3097,42.88
558,Austria,Often,extracurricularActivity,474,3097,15.31
559,Austria,Always or almost always,extracurricularActivity,100,3097,3.23
560,Belgium,Never or rarely,extracurricularActivity,4088,5423,75.38
561,Belgium,Sometimes,extracurricularActivity,944,5423,17.41
562,Belgium,Often,extracurricularActivity,278,5423,5.13
563,Belgium,Always or almost always,extracurricularActivity,113,5423,2.08
564,Brazil,Never or rarely,extracurricularActivity,3971,11876,33.44
565,Brazil,Sometimes,extracurricularActivity,4381,11876,36.89
566,Brazil,Often,extracurricularActivity,2412,11876,20.31
567,Brazil,Always or almost always,extracurricularActivity,1112,11876,9.36
568,Bulgaria,Never or rarely,extracurricularActivity,1840,3339,55.11
569,Bulgaria,Sometimes,extracurricularActivity,962,3339,28.81
570,Bulgaria,Often,extracurricularActivity,331,3339,9.91
571,Bulgaria,Always or almost always,extracurricularActivity,206,3339,6.17
572,Canada,Never or rarely,extracurricularActivity,11078,14025,78.99
573,Canada,Sometimes,extracurricularActivity,2081,14025,14.84
574,Canada,Often,extracurricularActivity,607,14025,4.33
575,Canada,Always or almost always,extracurricularActivity,259,14025,1.85
576,Chile,Never or rarely,extracurricularActivity,2321,4490,51.69
577,Chile,Sometimes,extracurricularActivity,1437,4490,32.0
578,Chile,Often,extracurricularActivity,552,4490,12.29
579,Chile,Always or almost always,extracurricularActivity,180,4490,4.01
580,China-Shanghai,Never or rarely,extracurricularActivity,1580,3431,46.05
581,China-Shanghai,Sometimes,extracurricularActivity,1370,3431,39.93
582,China-Shanghai,Often,extracurricularActivity,366,3431,10.67
583,China-Shanghai,Always or almost always,extracurricularActivity,115,3431,3.35
584,Chinese Taipei,Never or rarely,extracurricularActivity,2094,4002,52.32
585,Chinese Taipei,Sometimes,extracurricularActivity,1400,4002,34.98
586,Chinese Taipei,Often,extracurricularActivity,380,4002,9.5
587,Chinese Taipei,Always or almost always,extracurricularActivity,128,4002,3.2
588,Colombia,Never or rarely,extracurricularActivity,2064,5540,37.26
589,Colombia,Sometimes,extracurricularActivity,2448,5540,44.19
590,Colombia,Often,extracurricularActivity,739,5540,13.34
591,Colombia,Always or almost always,extracurricularActivity,289,5540,5.22
592,Connecticut (USA),Never or rarely,extracurricularActivity,846,1107,76.42
593,Connecticut (USA),Sometimes,extracurricularActivity,163,1107,14.72
594,Connecticut (USA),Often,extracurricularActivity,69,1107,6.23
595,Connecticut (USA),Always or almost always,extracurricularActivity,29,1107,2.62
596,Costa Rica,Never or rarely,extracurricularActivity,590,2870,20.56
597,Costa Rica,Sometimes,extracurricularActivity,1213,2870,42.26
598,Costa Rica,Often,extracurricularActivity,674,2870,23.48
599,Costa Rica,Always or almost always,extracurricularActivity,393,2870,13.69
600,Croatia,Never or rarely,extracurricularActivity,2466,3303,74.66
601,Croatia,Sometimes,extracurricularActivity,601,3303,18.2
602,Croatia,Often,extracurricularActivity,171,3303,5.18
603,Croatia,Always or almost always,extracurricularActivity,65,3303,1.97
604,Czech Republic,Never or rarely,extracurricularActivity,2783,3448,80.71
605,Czech Republic,Sometimes,extracurricularActivity,342,3448,9.92
606,Czech Republic,Often,extracurricularActivity,182,3448,5.28
607,Czech Republic,Always or almost always,extracurricularActivity,141,3448,4.09
608,Denmark,Never or rarely,extracurricularActivity,1387,4766,29.1
609,Denmark,Sometimes,extracurricularActivity,2143,4766,44.96
610,Denmark,Often,extracurricularActivity,1027,4766,21.55
611,Denmark,Always or almost always,extracurricularActivity,209,4766,4.39
612,Estonia,Never or rarely,extracurricularActivity,1099,3124,35.18
613,Estonia,Sometimes,extracurricularActivity,1410,3124,45.13
614,Estonia,Often,extracurricularActivity,533,3124,17.06
615,Estonia,Always or almost always,extracurricularActivity,82,3124,2.62
616,Finland,Never or rarely,extracurricularActivity,2006,5734,34.98
617,Finland,Sometimes,extracurricularActivity,2416,5734,42.13
618,Finland,Often,extracurricularActivity,1038,5734,18.1
619,Finland,Always or almost always,extracurricularActivity,274,5734,4.78
620,Florida (USA),Never or rarely,extracurricularActivity,919,1216,75.58
621,Florida (USA),Sometimes,extracurricularActivity,191,1216,15.71
622,Florida (USA),Often,extracurricularActivity,70,1216,5.76
623,Florida (USA),Always or almost always,extracurricularActivity,36,1216,2.96
624,France,Never or rarely,extracurricularActivity,2324,2953,78.7
625,France,Sometimes,extracurricularActivity,400,2953,13.55
626,France,Often,extracurricularActivity,163,2953,5.52
627,France,Always or almost always,extracurricularActivity,66,2953,2.24
628,Germany,Never or rarely,extracurricularActivity,870,2780,31.29
629,Germany,Sometimes,extracurricularActivity,1262,2780,45.4
630,Germany,Often,extracurricularActivity,520,2780,18.71
631,Germany,Always or almost always,extracurricularActivity,128,2780,4.6
632,Greece,Never or rarely,extracurricularActivity,1862,3337,55.8
633,Greece,Sometimes,extracurricularActivity,643,3337,19.27
634,Greece,Often,extracurricularActivity,532,3337,15.94
635,Greece,Always or almost always,extracurricularActivity,300,3337,8.99
636,Hong Kong-China,Never or rarely,extracurricularActivity,1599,3059,52.27
637,Hong Kong-China,Sometimes,extracurricularActivity,1123,3059,36.71
638,Hong Kong-China,Often,extracurricularActivity,276,3059,9.02
639,Hong Kong-China,Always or almost always,extracurricularActivity,61,3059,1.99
640,Hungary,Never or rarely,extracurricularActivity,1319,3154,41.82
641,Hungary,Sometimes,extracurricularActivity,1330,3154,42.17
642,Hungary,Often,extracurricularActivity,417,3154,13.22
643,Hungary,Always or almost always,extracurricularActivity,88,3154,2.79
644,Iceland,Never or rarely,extracurricularActivity,873,2205,39.59
645,Iceland,Sometimes,extracurricularActivity,819,2205,37.14
646,Iceland,Often,extracurricularActivity,398,2205,18.05
647,Iceland,Always or almost always,extracurricularActivity,115,2205,5.22
648,Indonesia,Never or rarely,extracurricularActivity,1144,3634,31.48
649,Indonesia,Sometimes,extracurricularActivity,1472,3634,40.51
650,Indonesia,Often,extracurricularActivity,781,3634,21.49
651,Indonesia,Always or almost always,extracurricularActivity,237,3634,6.52
652,Ireland,Never or rarely,extracurricularActivity,2713,3300,82.21
653,Ireland,Sometimes,extracurricularActivity,404,3300,12.24
654,Ireland,Often,extracurricularActivity,131,3300,3.97
655,Ireland,Always or almost always,extracurricularActivity,52,3300,1.58
656,Israel,Never or rarely,extracurricularActivity,1864,3148,59.21
657,Israel,Sometimes,extracurricularActivity,641,3148,20.36
658,Israel,Often,extracurricularActivity,396,3148,12.58
659,Israel,Always or almost always,extracurricularActivity,247,3148,7.85
660,Italy,Never or rarely,extracurricularActivity,13897,20436,68.0
661,Italy,Sometimes,extracurricularActivity,4380,20436,21.43
662,Italy,Often,extracurricularActivity,1630,20436,7.98
663,Italy,Always or almost always,extracurricularActivity,529,20436,2.59
664,Japan,Never or rarely,extracurricularActivity,2726,4152,65.66
665,Japan,Sometimes,extracurricularActivity,979,4152,23.58
666,Japan,Often,extracurricularActivity,345,4152,8.31
667,Japan,Always or almost always,extracurricularActivity,102,4152,2.46
668,Jordan,Never or rarely,extracurricularActivity,693,4443,15.6
669,Jordan,Sometimes,extracurricularActivity,1224,4443,27.55
670,Jordan,Often,extracurricularActivity,1397,4443,31.44
671,Jordan,Always or almost always,extracurricularActivity,1129,4443,25.41
672,Kazakhstan,Never or rarely,extracurricularActivity,644,3805,16.93
673,Kazakhstan,Sometimes,extracurricularActivity,1593,3805,41.87
674,Kazakhstan,Often,extracurricularActivity,1112,3805,29.22
675,Kazakhstan,Always or almost always,extracurricularActivity,456,3805,11.98
676,Korea,Never or rarely,extracurricularActivity,1376,3347,41.11
677,Korea,Sometimes,extracurricularActivity,830,3347,24.8
678,Korea,Often,extracurricularActivity,800,3347,23.9
679,Korea,Always or almost always,extracurricularActivity,341,3347,10.19
680,Latvia,Never or rarely,extracurricularActivity,1613,2863,56.34
681,Latvia,Sometimes,extracurricularActivity,826,2863,28.85
682,Latvia,Often,extracurricularActivity,334,2863,11.67
683,Latvia,Always or almost always,extracurricularActivity,90,2863,3.14
684,Liechtenstein,Never or rarely,extracurricularActivity,62,192,32.29
685,Liechtenstein,Sometimes,extracurricularActivity,93,192,48.44
686,Liechtenstein,Often,extracurricularActivity,29,192,15.1
687,Liechtenstein,Always or almost always,extracurricularActivity,8,192,4.17
688,Lithuania,Never or rarely,extracurricularActivity,2148,3019,71.15
689,Lithuania,Sometimes,extracurricularActivity,473,3019,15.67
690,Lithuania,Often,extracurricularActivity,237,3019,7.85
691,Lithuania,Always or almost always,extracurricularActivity,161,3019,5.33
692,Luxembourg,Never or rarely,extracurricularActivity,2669,3379,78.99
693,Luxembourg,Sometimes,extracurricularActivity,441,3379,13.05
694,Luxembourg,Often,extracurricularActivity,180,3379,5.33
695,Luxembourg,Always or almost always,extracurricularActivity,89,3379,2.63
696,Macao-China,Never or rarely,extracurricularActivity,2189,3533,61.96
697,Macao-China,Sometimes,extracurricularActivity,1083,3533,30.65
698,Macao-China,Often,extracurricularActivity,210,3533,5.94
699,Macao-China,Always or almost always,extracurricularActivity,51,3533,1.44
700,Malaysia,Never or rarely,extracurricularActivity,839,3356,25.0
701,Malaysia,Sometimes,extracurricularActivity,1615,3356,48.12
702,Malaysia,Often,extracurricularActivity,651,3356,19.4
703,Malaysia,Always or almost always,extracurricularActivity,251,3356,7.48
704,Massachusetts (USA),Never or rarely,extracurricularActivity,883,1093,80.79
705,Massachusetts (USA),Sometimes,extracurricularActivity,127,1093,11.62
706,Massachusetts (USA),Often,extracurricularActivity,48,1093,4.39
707,Massachusetts (USA),Always or almost always,extracurricularActivity,35,1093,3.2
708,Mexico,Never or rarely,extracurricularActivity,8032,22123,36.31
709,Mexico,Sometimes,extracurricularActivity,9452,22123,42.72
710,Mexico,Often,extracurricularActivity,3290,22123,14.87
711,Mexico,Always or almost always,extracurricularActivity,1349,22123,6.1
712,Montenegro,Never or rarely,extracurricularActivity,1422,3009,47.26
713,Montenegro,Sometimes,extracurricularActivity,979,3009,32.54
714,Montenegro,Often,extracurricularActivity,407,3009,13.53
715,Montenegro,Always or almost always,extracurricularActivity,201,3009,6.68
716,Netherlands,Never or rarely,extracurricularActivity,2195,2828,77.62
717,Netherlands,Sometimes,extracurricularActivity,476,2828,16.83
718,Netherlands,Often,extracurricularActivity,123,2828,4.35
719,Netherlands,Always or almost always,extracurricularActivity,34,2828,1.2
720,New Zealand,Never or rarely,extracurricularActivity,1973,2768,71.28
721,New Zealand,Sometimes,extracurricularActivity,517,2768,18.68
722,New Zealand,Often,extracurricularActivity,197,2768,7.12
723,New Zealand,Always or almost always,extracurricularActivity,81,2768,2.93
724,Norway,Never or rarely,extracurricularActivity,2527,3025,83.54
725,Norway,Sometimes,extracurricularActivity,389,3025,12.86
726,Norway,Often,extracurricularActivity,73,3025,2.41
727,Norway,Always or almost always,extracurricularActivity,36,3025,1.19
728,Perm(Russian Federation),Never or rarely,extracurricularActivity,319,1125,28.36
729,Perm(Russian Federation),Sometimes,extracurricularActivity,381,1125,33.87
730,Perm(Russian Federation),Often,extracurricularActivity,240,1125,21.33
731,Perm(Russian Federation),Always or almost always,extracurricularActivity,185,1125,16.44
732,Peru,Never or rarely,extracurricularActivity,1323,3640,36.35
733,Peru,Sometimes,extracurricularActivity,1454,3640,39.95
734,Peru,Often,extracurricularActivity,583,3640,16.02
735,Peru,Always or almost always,extracurricularActivity,280,3640,7.69
736,Poland,Never or rarely,extracurricularActivity,1317,3049,43.19
737,Poland,Sometimes,extracurricularActivity,1037,3049,34.01
738,Poland,Often,extracurricularActivity,500,3049,16.4
739,Poland,Always or almost always,extracurricularActivity,195,3049,6.4
740,Portugal,Never or rarely,extracurricularActivity,2326,3691,63.02
741,Portugal,Sometimes,extracurricularActivity,692,3691,18.75
742,Portugal,Often,extracurricularActivity,495,3691,13.41
743,Portugal,Always or almost always,extracurricularActivity,178,3691,4.82
744,Qatar,Never or rarely,extracurricularActivity,1665,6564,25.37
745,Qatar,Sometimes,extracurricularActivity,1924,6564,29.31
746,Qatar,Often,extracurricularActivity,1852,6564,28.21
747,Qatar,Always or almost always,extracurricularActivity,1123,6564,17.11
748,Romania,Never or rarely,extracurricularActivity,1422,3339,42.59
749,Romania,Sometimes,extracurricularActivity,945,3339,28.3
750,Romania,Often,extracurricularActivity,600,3339,17.97
751,Romania,Always or almost always,extracurricularActivity,372,3339,11.14
752,Russian Federation,Never or rarely,extracurricularActivity,1233,3432,35.93
753,Russian Federation,Sometimes,extracurricularActivity,1349,3432,39.31
754,Russian Federation,Often,extracurricularActivity,588,3432,17.13
755,Russian Federation,Always or almost always,extracurricularActivity,262,3432,7.63
756,Serbia,Never or rarely,extracurricularActivity,1935,2991,64.69
757,Serbia,Sometimes,extracurricularActivity,794,2991,26.55
758,Serbia,Often,extracurricularActivity,188,2991,6.29
759,Serbia,Always or almost always,extracurricularActivity,74,2991,2.47
760,Singapore,Never or rarely,extracurricularActivity,2156,3683,58.54
761,Singapore,Sometimes,extracurricularActivity,1029,3683,27.94
762,Singapore,Often,extracurricularActivity,379,3683,10.29
763,Singapore,Always or almost always,extracurricularActivity,119,3683,3.23
764,Slovak Republic,Never or rarely,extracurricularActivity,1662,2990,55.59
765,Slovak Republic,Sometimes,extracurricularActivity,1090,2990,36.45
766,Slovak Republic,Often,extracurricularActivity,196,2990,6.56
767,Slovak Republic,Always or almost always,extracurricularActivity,42,2990,1.4
768,Slovenia,Never or rarely,extracurricularActivity,2071,3719,55.69
769,Slovenia,Sometimes,extracurricularActivity,1087,3719,29.23
770,Slovenia,Often,extracurricularActivity,430,3719,11.56
771,Slovenia,Always or almost always,extracurricularActivity,131,3719,3.52
772,Spain,Never or rarely,extracurricularActivity,9484,16527,57.38
773,Spain,Sometimes,extracurricularActivity,3501,16527,21.18
774,Spain,Often,extracurricularActivity,2282,16527,13.81
775,Spain,Always or almost always,extracurricularActivity,1260,16527,7.62
776,Sweden,Never or rarely,extracurricularActivity,1246,3056,40.77
777,Sweden,Sometimes,extracurricularActivity,1263,3056,41.33
778,Sweden,Often,extracurricularActivity,426,3056,13.94
779,Sweden,Always or almost always,extracurricularActivity,121,3056,3.96
780,Switzerland,Never or rarely,extracurricularActivity,3986,7379,54.02
781,Switzerland,Sometimes,extracurricularActivity,2349,7379,31.83
782,Switzerland,Often,extracurricularActivity,823,7379,11.15
783,Switzerland,Always or almost always,extracurricularActivity,221,7379,2.99
784,Thailand,Never or rarely,extracurricularActivity,632,4394,14.38
785,Thailand,Sometimes,extracurricularActivity,2192,4394,49.89
786,Thailand,Often,extracurricularActivity,1251,4394,28.47
787,Thailand,Always or almost always,extracurricularActivity,319,4394,7.26
788,Tunisia,Never or rarely,extracurricularActivity,1083,2764,39.18
789,Tunisia,Sometimes,extracurricularActivity,830,2764,30.03
790,Tunisia,Often,extracurricularActivity,530,2764,19.18
791,Tunisia,Always or almost always,extracurricularActivity,321,2764,11.61
792,Turkey,Never or rarely,extracurricularActivity,1336,3172,42.12
793,Turkey,Sometimes,extracurricularActivity,1175,3172,37.04
794,Turkey,Often,extracurricularActivity,426,3172,13.43
795,Turkey,Always or almost always,extracurricularActivity,235,3172,7.41
796,United Arab Emirates,Never or rarely,extracurricularActivity,2046,7315,27.97
797,United Arab Emirates,Sometimes,extracurricularActivity,2287,7315,31.26
798,United Arab Emirates,Often,extracurricularActivity,1812,7315,24.77
799,United Arab Emirates,Always or almost always,extracurricularActivity,1170,7315,15.99
800,United Kingdom,Never or rarely,extracurricularActivity,5833,8285,70.4
801,United Kingdom,Sometimes,extracurricularActivity,1588,8285,19.17
802,United Kingdom,Often,extracurricularActivity,615,8285,7.42
803,United Kingdom,Always or almost always,extracurricularActivity,249,8285,3.01
804,United States of America,Never or rarely,extracurricularActivity,2412,3204,75.28
805,United States of America,Sometimes,extracurricularActivity,539,3204,16.82
806,United States of America,Often,extracurricularActivity,182,3204,5.68
807,United States of America,Always or almost always,extracurricularActivity,71,3204,2.22
808,Uruguay,Never or rarely,extracurricularActivity,1886,3324,56.74
809,Uruguay,Sometimes,extracurricularActivity,861,3324,25.9
810,Uruguay,Often,extracurricularActivity,406,3324,12.21
811,Uruguay,Always or almost always,extracurricularActivity,171,3324,5.14
812,Vietnam,Never or rarely,extracurricularActivity,789,3238,24.37
813,Vietnam,Sometimes,extracurricularActivity,1668,3238,51.51
814,Vietnam,Often,extracurricularActivity,727,3238,22.45
815,Vietnam,Always or almost always,extracurricularActivity,54,3238,1.67
816,Albania,Never or rarely,participateInCompetitions,1016,2594,39.17
817,Albania,Sometimes,participateInCompetitions,854,2594,32.92
818,Albania,Often,participateInCompetitions,455,2594,17.54
819,Albania,Always or almost always,participateInCompetitions,269,2594,10.37
820,Argentina,Never or rarely,participateInCompetitions,2895,3639,79.55
821,Argentina,Sometimes,participateInCompetitions,367,3639,10.09
822,Argentina,Often,participateInCompetitions,216,3639,5.94
823,Argentina,Always or almost always,participateInCompetitions,161,3639,4.42
824,Australia,Never or rarely,participateInCompetitions,6918,9386,73.71
825,Australia,Sometimes,participateInCompetitions,1594,9386,16.98
826,Australia,Often,participateInCompetitions,607,9386,6.47
827,Australia,Always or almost always,participateInCompetitions,267,9386,2.84
828,Austria,Never or rarely,participateInCompetitions,2868,3100,92.52
829,Austria,Sometimes,participateInCompetitions,165,3100,5.32
830,Austria,Often,participateInCompetitions,39,3100,1.26
831,Austria,Always or almost always,participateInCompetitions,28,3100,0.9
832,Belgium,Never or rarely,participateInCompetitions,4685,5430,86.28
833,Belgium,Sometimes,participateInCompetitions,524,5430,9.65
834,Belgium,Often,participateInCompetitions,147,5430,2.71
835,Belgium,Always or almost always,participateInCompetitions,74,5430,1.36
836,Brazil,Never or rarely,participateInCompetitions,6940,11920,58.22
837,Brazil,Sometimes,participateInCompetitions,2795,11920,23.45
838,Brazil,Often,participateInCompetitions,1308,11920,10.97
839,Brazil,Always or almost always,participateInCompetitions,877,11920,7.36
840,Bulgaria,Never or rarely,participateInCompetitions,1916,3329,57.55
841,Bulgaria,Sometimes,participateInCompetitions,879,3329,26.4
842,Bulgaria,Often,participateInCompetitions,328,3329,9.85
843,Bulgaria,Always or almost always,participateInCompetitions,206,3329,6.19
844,Canada,Never or rarely,participateInCompetitions,11914,14020,84.98
845,Canada,Sometimes,participateInCompetitions,1371,14020,9.78
846,Canada,Often,participateInCompetitions,495,14020,3.53
847,Canada,Always or almost always,participateInCompetitions,240,14020,1.71
848,Chile,Never or rarely,participateInCompetitions,3585,4486,79.92
849,Chile,Sometimes,participateInCompetitions,573,4486,12.77
850,Chile,Often,participateInCompetitions,208,4486,4.64
851,Chile,Always or almost always,participateInCompetitions,120,4486,2.67
852,China-Shanghai,Never or rarely,participateInCompetitions,2274,3430,66.3
853,China-Shanghai,Sometimes,participateInCompetitions,840,3430,24.49
854,China-Shanghai,Often,participateInCompetitions,197,3430,5.74
855,China-Shanghai,Always or almost always,participateInCompetitions,119,3430,3.47
856,Chinese Taipei,Never or rarely,participateInCompetitions,3128,4003,78.14
857,Chinese Taipei,Sometimes,participateInCompetitions,668,4003,16.69
858,Chinese Taipei,Often,participateInCompetitions,139,4003,3.47
859,Chinese Taipei,Always or almost always,participateInCompetitions,68,4003,1.7
860,Colombia,Never or rarely,participateInCompetitions,2700,5541,48.73
861,Colombia,Sometimes,participateInCompetitions,1794,5541,32.38
862,Colombia,Often,participateInCompetitions,699,5541,12.62
863,Colombia,Always or almost always,participateInCompetitions,348,5541,6.28
864,Connecticut (USA),Never or rarely,participateInCompetitions,928,1107,83.83
865,Connecticut (USA),Sometimes,participateInCompetitions,98,1107,8.85
